Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
15758,108098.0,Master’s degree,3,No,Not very important,Very important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,,2 to 9 employees,"{'Windows', 'Linux'}",Engineering other,32.0,32.0
15767,972888.0,Bachelor’s degree,4,Yes,Somewhat important,Very important,Once a year,Yes,Never,MacOS,"1,000 to 4,999 employees","{'Linux', 'MacOS', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Math or stats,35.0,10.0
15781,38778.0,College study/no degree,5,Not sure,Neutral,Not important,Once a year,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,500 to 999 employees,"{'Windows', 'Linux', 'Raspberry Pi'}",Engineering other,35.0,8.0
15792,,Master’s degree,4,Not sure,,Very important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"5,000 to 9,999 employees","{'MacOS', 'Linux', 'Google Cloud Platform', 'Raspberry Pi'}",Computer science,40.0,38.0
15794,7500.0,Bachelor’s degree,5,Yes,Somewhat important,Critically important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Docker', 'Windows', 'Linux', 'AWS'}",Computer science,60.0,18.0
15796,,Bachelor’s degree,4,Not sure,Somewhat important,Fairly important,Every few months,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"5,000 to 9,999 employees","{'Docker', 'Kubernetes', 'AWS'}",Computer science,40.0,8.0
15817,9720.0,Bachelor’s degree,3,No,Extremely important,Not important,Once every few years,Yes,Rarely: 1-2 days per year or less,Linux-based,20 to 99 employees,"{'Linux', 'Heroku', 'AWS', 'Docker', 'Google Cloud Platform'}",Engineering other,40.0,8.0
15821,4236.0,Bachelor’s degree,5,No,Extremely important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'WordPress', 'Windows', 'Google Cloud Platform', 'iOS'}",Information system,40.0,4.0
15832,,Master’s degree,3,,,Somewhat important,Once every few years,,Never,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Windows', 'Linux'}",Information system,,10.0
15839,86976.0,College study/no degree,5,No,Somewhat important,Somewhat important,Every few months,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'WordPress', 'MacOS', 'iOS', 'Heroku', 'Docker', 'Windows'}",Computer science,28.0,29.0
15845,,Master’s degree,1,No,Somewhat important,Very important,Once a year,Onboarding? What onboarding?,Never,MacOS,"Just me - I am a freelancer, sole proprietor, etc.","{'MacOS', 'Android', 'iOS', 'Windows', 'Google Cloud Platform'}",Information system,32.0,11.0
15849,26605.0,College study/no degree,4,Yes,Extremely important,Somewhat important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Docker', 'Android', 'Linux', 'AWS'}",Computer science,45.0,8.0
15853,236000.0,Bachelor’s degree,2,Yes,Extremely important,Fairly important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Microsoft Azure', 'Windows'}",Computer science,42.0,13.0
15871,350000.0,Master’s degree,5,Yes,Extremely important,Critically important,Once a year,Yes,Never,Linux-based,"10,000 or more employees","{'Linux', 'MacOS', 'Android', 'Heroku', 'AWS', 'Google Cloud Platform'}",Computer science,45.0,15.0
15874,75669.0,Master’s degree,1,Yes,Somewhat important,Somewhat important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,100 to 499 employees,"{'Docker', 'Microsoft Azure', 'Windows', 'Linux'}",Social science,45.0,6.0
15877,63564.0,Master’s degree,3,No,Extremely important,Very important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,500 to 999 employees,{'Windows'},Engineering other,35.0,10.0
15880,26388.0,Bachelor’s degree,5,Yes,Extremely important,Not important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees",{'Windows'},Engineering other,9.0,1.0
15891,,Bachelor’s degree,4,No,,Very important,Every few months,Yes,Often: 1-2 days per week or more,Windows,"Just me - I am a freelancer, sole proprietor, etc.",{'WordPress'},Business,80.0,3.0
15898,148648.0,Master’s degree,4,Yes,Extremely important,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees",{'AWS'},Computer science,38.0,20.0
15908,105000.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,{'Windows'},Information system,40.0,23.0
15909,32988.0,Bachelor’s degree,5,No,Neutral,Somewhat important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,"{'Windows', 'Linux'}",Computer science,,35.0
15913,,Master’s degree,5,No,Somewhat important,Very important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Linux', 'MacOS', 'Microsoft Azure', 'Android', 'iOS', 'Kubernetes', 'Docker', 'Windows'}",Computer science,50.0,25.0
15915,,Bachelor’s degree,5,Yes,Somewhat important,Very important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,"5,000 to 9,999 employees","{'Linux', 'WordPress', 'Android', 'Raspberry Pi', 'AWS', 'Windows'}",Computer science,36.0,5.0
15917,75000.0,Bachelor’s degree,5,Yes,Somewhat important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Windows', 'iOS'}",Computer science,40.0,13.0
15923,46800.0,Master’s degree,3,Yes,Somewhat important,Fairly important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"1,000 to 4,999 employees",{'Linux'},,39.0,10.0
15924,105000.0,Bachelor’s degree,2,No,Extremely important,Somewhat important,Every few months,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Linux-based,100 to 499 employees,"{'Docker', 'Windows', 'Linux', 'AWS'}",Computer science,40.0,16.0
15930,8760.0,Other doctoral degree,4,No,,Fairly important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,"Just me - I am a freelancer, sole proprietor, etc.",{'Linux'},Natural science,30.0,10.0
15932,,Master’s degree,5,Yes,Extremely important,Somewhat important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,"1,000 to 4,999 employees","{'Microsoft Azure', 'AWS'}",Computer science,40.0,15.0
15933,81074.0,College study/no degree,2,Yes,Extremely important,Fairly important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Linux', 'MacOS', 'Android', 'Raspberry Pi', 'Windows', 'Google Cloud Platform'}",,40.0,6.0
15940,55907.0,College study/no degree,4,Yes,Extremely important,Not important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,10 to 19 employees,"{'Linux', 'WordPress', 'AWS', 'Docker', 'Windows'}",Computer science,35.0,15.0
15948,118685.0,Bachelor’s degree,5,No,Extremely important,Somewhat important,Once a year,Yes,Often: 1-2 days per week or more,MacOS,"10,000 or more employees","{'Docker', 'MacOS', 'IBM Cloud or Watson', 'Linux'}",Computer science,65.0,19.0
15951,,Master’s degree,5,Yes,Somewhat important,Very important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"10,000 or more employees","{'Linux', 'Raspberry Pi'}",Computer science,40.0,38.0
15961,80000.0,Bachelor’s degree,5,Yes,Neutral,Very important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'Windows', 'AWS'}",Computer science,40.0,3.0
15965,6981.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Windows,"1,000 to 4,999 employees","{'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,40.0,6.0
15969,,College study/no degree,2,No,Extremely important,Not important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,100 to 499 employees,"{'Windows', 'Linux'}",Computer science,40.0,16.0
15984,83236.0,Other doctoral degree,4,Yes,Extremely important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,{},Computer science,45.0,25.0
15987,297828.0,Bachelor’s degree,5,Yes,Neutral,Fairly important,Every few months,Yes,Often: 1-2 days per week or more,MacOS,"1,000 to 4,999 employees","{'Linux', 'WordPress', 'MacOS', 'Android', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,55.0,10.0
15994,50400.0,Master’s degree,2,No,Extremely important,Somewhat important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,10 to 19 employees,"{'Docker', 'MacOS', 'Microsoft Azure', 'AWS'}",Engineering other,45.0,7.0
15996,41232.0,Other doctoral degree,1,No,Extremely important,Somewhat important,Once a year,Yes,Rarely: 1-2 days per year or less,Windows,20 to 99 employees,"{'Linux', 'MacOS', 'Raspberry Pi', 'AWS', 'Windows'}",Arts,40.0,6.0
16001,55000.0,Bachelor’s degree,2,No,Extremely important,Fairly important,Once every few years,Yes,Rarely: 1-2 days per year or less,Windows,"10,000 or more employees",{'Windows'},Computer science,40.0,10.0
16003,279204.0,College study/no degree,4,Yes,Extremely important,Somewhat important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,20 to 99 employees,"{'Windows', 'Android', 'Raspberry Pi'}",Computer science,38.0,3.0
16004,76750.0,Other doctoral degree,5,No,Not very important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'MacOS', 'Linux', 'Android', 'Arduino'}",Computer science,60.0,25.0
16008,70000.0,Bachelor’s degree,5,No,Neutral,Fairly important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees",{},Computer science,38.0,8.0
16011,8556.0,Master’s degree,4,Yes,Extremely important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Windows', 'Slack Apps and Integrations', 'Linux', 'Heroku'}",Computer science,40.0,6.0
16021,,Other doctoral degree,5,No,Somewhat important,Critically important,Once a year,No,Often: 1-2 days per week or more,MacOS,"1,000 to 4,999 employees","{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Heroku', 'Docker', 'Google Cloud Platform'}",Computer science,40.0,26.0
16022,22956.0,Master’s degree,4,No,Neutral,Critically important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'Docker', 'Linux'}",Engineering other,50.0,14.0
16023,3960.0,Secondary school,2,No,Extremely important,Somewhat important,Once every few years,No,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'Windows', 'WordPress'}",,30.0,20.0
16027,30108.0,Professional degree,4,No,Extremely important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'Microsoft Azure', 'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,46.0,13.0
16030,13740.0,Bachelor’s degree,3,Yes,Somewhat important,Very important,Once every few years,No,Rarely: 1-2 days per year or less,Windows,500 to 999 employees,"{'Microsoft Azure', 'Windows'}",Math or stats,40.0,8.0
16033,48564.0,Professional degree,4,Yes,Extremely important,Somewhat important,Every few months,Yes,Rarely: 1-2 days per year or less,Linux-based,20 to 99 employees,"{'Linux', 'WordPress', 'MacOS', 'Android', 'Arduino', 'AWS', 'Docker'}",Computer science,40.0,20.0
16034,77556.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'Microsoft Azure', 'Windows'}",Business,40.0,20.0
16040,48795.0,Bachelor’s degree,5,Not sure,Neutral,Fairly important,Once every few years,No,Rarely: 1-2 days per year or less,Linux-based,100 to 499 employees,{'Docker'},Computer science,40.0,5.0
16048,,Bachelor’s degree,5,No,Neutral,Very important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'Docker', 'Windows', 'Android', 'Raspberry Pi'}",Engineering other,38.0,12.0
16050,5772.0,Secondary school,2,No,Somewhat important,Fairly important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,10 to 19 employees,"{'Docker', 'AWS'}",,40.0,4.0
16062,45396.0,Secondary school,5,Yes,Extremely important,Not important,Once a year,No,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Docker', 'Microsoft Azure', 'Linux', 'Kubernetes'}",,50.0,25.0
16063,17520.0,College study/no degree,2,,,Fairly important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,{'Linux'},Business,45.0,40.0
16071,24648.0,Bachelor’s degree,2,Yes,Extremely important,Critically important,Once every few years,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,10 to 19 employees,"{'Slack Apps and Integrations', 'Linux', 'AWS'}",Computer science,40.0,25.0
16078,54049.0,Master’s degree,5,Not sure,Neutral,Very important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,500 to 999 employees,{'Linux'},Engineering other,38.0,7.0
16082,,Bachelor’s degree,2,Yes,Extremely important,Very important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,MacOS,100 to 499 employees,"{'Slack Apps and Integrations', 'AWS'}",Math or stats,,11.0
16103,,Bachelor’s degree,3,Yes,Extremely important,Fairly important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Windows', 'Android'}",Computer science,40.0,14.0
16104,20616.0,Bachelor’s degree,2,Yes,Somewhat important,Fairly important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,"{'Docker', 'MacOS', 'Linux', 'Kubernetes'}",Computer science,40.0,8.0
16107,480840.0,Master’s degree,5,Yes,Somewhat important,Somewhat important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,"5,000 to 9,999 employees","{'Microsoft Azure', 'Google Cloud Platform', 'AWS'}",Engineering other,37.5,4.0
16109,38916.0,Master’s degree,5,No,Not at all important,Not important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,10 to 19 employees,"{'Docker', 'MacOS', 'Raspberry Pi', 'Heroku'}",Social science,40.0,6.0
16115,51704.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Once every few years,Yes,Often: 1-2 days per week or more,MacOS,100 to 499 employees,{'Google Cloud Platform'},Engineering other,50.0,5.0
16116,,Bachelor’s degree,4,Not sure,Somewhat important,Very important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees",{},Humanities,42.0,13.0
16117,162000.0,Bachelor’s degree,5,Yes,Extremely important,Fairly important,Once a year,Yes,Rarely: 1-2 days per year or less,MacOS,100 to 499 employees,"{'Docker', 'AWS'}",Computer science,41.0,25.0
16126,111341.0,Other doctoral degree,5,No,Somewhat important,Very important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,500 to 999 employees,"{'MacOS', 'Linux'}",Social science,47.0,26.0
16128,,Bachelor’s degree,3,No,Extremely important,Very important,Every few months,No,Rarely: 1-2 days per year or less,Windows,100 to 499 employees,"{'MacOS', 'Windows'}",Computer science,45.0,7.0
16131,1000000.0,Bachelor’s degree,3,No,Somewhat important,Very important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,500 to 999 employees,{'WordPress'},Computer science,37.5,10.0
16135,54480.0,Master’s degree,5,No,Somewhat important,Not important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,{'Windows'},Humanities,40.0,18.0
16136,50000.0,College study/no degree,2,Yes,Extremely important,Fairly important,Once every few years,No,Often: 1-2 days per week or more,Linux-based,2 to 9 employees,{'Linux'},Computer science,40.0,38.0
16149,216196.0,Other doctoral degree,3,No,Extremely important,Critically important,Every few months,Onboarding? What onboarding?,Never,MacOS,2 to 9 employees,"{'Docker', 'Linux', 'Raspberry Pi'}",Computer science,50.0,40.0
16166,,Master’s degree,5,No,Neutral,Critically important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,500 to 999 employees,"{'Docker', 'Windows', 'Linux'}",Computer science,42.0,27.0
16168,45241.0,Secondary school,5,No,Neutral,Not important,Every few months,Yes,Often: 1-2 days per week or more,Windows,20 to 99 employees,{},,60.0,1.0
16170,,Bachelor’s degree,3,No,Neutral,Critically important,Once every few years,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,"Just me - I am a freelancer, sole proprietor, etc.",{'Windows'},Computer science,10.0,8.0
16174,110000.0,Bachelor’s degree,3,No,Extremely important,Critically important,Every few months,No,Often: 1-2 days per week or more,MacOS,"10,000 or more employees","{'Linux', 'MacOS', 'Raspberry Pi', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Business,50.0,10.0
16181,45814.0,Master’s degree,5,Yes,Extremely important,Very important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"10,000 or more employees","{'Linux', 'MacOS', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",Engineering other,40.0,10.0
16184,11820.0,Bachelor’s degree,2,Yes,Somewhat important,Fairly important,Every few months,No,Rarely: 1-2 days per year or less,Linux-based,,"{'Linux', 'Android', 'AWS', 'Docker', 'Windows'}",Computer science,40.0,8.0
16193,27492.0,Other doctoral degree,5,Not sure,Neutral,Very important,Once a decade,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,"5,000 to 9,999 employees","{'Windows', 'Linux'}",Computer science,40.0,25.0
16199,71093.0,Other doctoral degree,1,No,Somewhat important,Fairly important,Once every few years,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,2 to 9 employees,"{'Linux', 'Microsoft Azure', 'Raspberry Pi', 'AWS', 'Docker'}",Natural science,32.0,21.0
16201,150000.0,No formal education,5,Yes,Somewhat important,,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"10,000 or more employees","{'Linux', 'WordPress', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",,40.0,15.0
16204,149000.0,Bachelor’s degree,4,No,Extremely important,Critically important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"10,000 or more employees","{'IBM Cloud or Watson', 'Slack Apps and Integrations', 'Linux', 'WordPress', 'MacOS', 'Raspberry Pi', 'Kubernetes', 'AWS', 'Docker', 'Windows'}",Computer science,,12.0
16206,150000.0,Master’s degree,4,No,Somewhat important,Critically important,Every few months,Yes,Never,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Linux', 'Kubernetes'}",Computer science,34.0,20.0
16208,42699.0,Master’s degree,3,Not sure,Extremely important,Very important,Once a year,Onboarding? What onboarding?,Never,Linux-based,100 to 499 employees,"{'Docker', 'Raspberry Pi', 'Linux', 'AWS'}",Engineering other,39.0,13.0
16219,75500.0,Master’s degree,5,Not sure,Neutral,Not important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,500 to 999 employees,"{'Windows', 'Linux'}",Social science,42.0,8.0
16232,61140.0,Master’s degree,2,Yes,Extremely important,Fairly important,Once a year,No,Often: 1-2 days per week or more,MacOS,100 to 499 employees,"{'MacOS', 'Arduino', 'Docker', 'Windows', 'Google Cloud Platform'}",Math or stats,40.0,8.0
16243,100000.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,Once a year,Yes,Rarely: 1-2 days per year or less,Windows,20 to 99 employees,"{'Linux', 'Microsoft Azure', 'Android', 'Raspberry Pi', 'AWS', 'Windows'}",Computer science,35.0,20.0
16249,38916.0,Other doctoral degree,5,Yes,Extremely important,Critically important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Docker', 'AWS'}",Natural science,40.0,12.0
16257,100000.0,Bachelor’s degree,4,No,Extremely important,Very important,Once every few years,No,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees","{'Microsoft Azure', 'Windows'}",Computer science,40.0,33.0
16263,16488.0,Bachelor’s degree,3,No,Extremely important,Critically important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Windows,2 to 9 employees,"{'Windows', 'Android', 'Linux'}",Business,40.0,12.0
16266,,College study/no degree,1,Yes,Somewhat important,Not important,,No,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees",{},Computer science,10.0,8.0
16270,57000.0,Master’s degree,4,Yes,Neutral,Critically important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,500 to 999 employees,"{'Microsoft Azure', 'Windows'}",Math or stats,40.0,6.0
16271,,Bachelor’s degree,4,No,Not very important,Very important,Once every few years,No,Often: 1-2 days per week or more,MacOS,500 to 999 employees,"{'Linux', 'MacOS', 'Android', 'Heroku', 'Docker'}",Computer science,40.0,5.0
16284,0.0,Master’s degree,5,Yes,Extremely important,Somewhat important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,"Just me - I am a freelancer, sole proprietor, etc.","{'Linux', 'MacOS', 'AWS', 'Docker', 'Windows'}",Computer science,70.0,8.0
16290,25944.0,Other doctoral degree,3,No,Neutral,Somewhat important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,500 to 999 employees,"{'Windows', 'Linux'}",Math or stats,40.0,10.0
16292,90802.0,Master’s degree,1,Yes,Extremely important,Not important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,,"{'Linux', 'MacOS', 'Android', 'Heroku', 'Raspberry Pi', 'Arduino', 'AWS', 'Docker', 'Kubernetes', 'Google Cloud Platform'}",Computer science,40.0,5.0
16304,110000.0,Bachelor’s degree,5,No,Neutral,Somewhat important,,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Docker', 'Windows', 'Raspberry Pi'}",,40.0,25.0
16305,40321.0,Master’s degree,3,No,Extremely important,Fairly important,Every few months,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Docker', 'MacOS', 'Android', 'Heroku'}",Computer science,40.0,16.0
16309,33780.0,Bachelor’s degree,2,Not sure,Neutral,Somewhat important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees",{'Windows'},Business,40.0,20.0
16313,10992.0,Master’s degree,4,No,Somewhat important,Very important,Every few months,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,500 to 999 employees,"{'Linux', 'Google Cloud Platform'}",Computer science,40.0,10.0
16328,63281.0,Master’s degree,4,Yes,Extremely important,Somewhat important,Once a year,No,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'Docker', 'Kubernetes'}",Engineering other,45.0,30.0
16332,,Master’s degree,5,No,Somewhat important,Somewhat important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Microsoft Azure', 'Windows'}",Math or stats,,4.0
16338,28368.0,Bachelor’s degree,5,Yes,Somewhat important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Docker', 'MacOS', 'Linux', 'AWS'}",Computer science,40.0,12.0
16342,99700.0,Professional degree,4,Not sure,Extremely important,Somewhat important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees","{'Linux', 'Kubernetes'}",,38.0,26.0
16362,48936.0,,2,Yes,Somewhat important,Somewhat important,Once a year,Yes,Never,Linux-based,"1,000 to 4,999 employees","{'Slack Apps and Integrations', 'Linux', 'MacOS', 'AWS', 'Docker', 'Google Cloud Platform'}",Computer science,40.0,19.0
16363,54972.0,Master’s degree,5,No,Extremely important,Somewhat important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Windows', 'Linux', 'AWS'}",Computer science,40.0,10.0
16371,252000.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'Docker', 'Linux', 'AWS'}",Computer science,40.0,37.0
16381,,Secondary school,1,Not sure,Extremely important,Very important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,2 to 9 employees,"{'Windows', 'Android', 'Google Cloud Platform', 'WordPress'}",,24.0,3.0
16393,,Bachelor’s degree,4,Yes,Extremely important,Critically important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Linux', 'MacOS', 'Raspberry Pi', 'AWS', 'Docker'}",Engineering other,40.0,10.0
16394,35736.0,Other doctoral degree,2,Not sure,Extremely important,Very important,Every few months,No,Often: 1-2 days per week or more,Linux-based,"1,000 to 4,999 employees","{'Docker', 'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,44.0,20.0
16397,65147.0,Bachelor’s degree,5,No,Not at all important,Not important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,20 to 99 employees,{'Windows'},Math or stats,50.0,40.0
16403,150000.0,Associate degree,3,Yes,Extremely important,Not important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"1,000 to 4,999 employees","{'Windows', 'Linux'}",Web dev/design,36.0,24.0
16405,200000.0,Other doctoral degree,1,Yes,Extremely important,Somewhat important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,"5,000 to 9,999 employees","{'Docker', 'Linux'}",Engineering other,40.0,10.0
16411,48644.0,Bachelor’s degree,5,Yes,Extremely important,Critically important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,2 to 9 employees,"{'Linux', 'Android', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",Computer science,36.0,13.0
16416,16762.0,Bachelor’s degree,3,No,Somewhat important,Very important,Once a year,No,Often: 1-2 days per week or more,Windows,"5,000 to 9,999 employees","{'Windows', 'Android', 'Linux', 'WordPress'}",Computer science,40.0,7.0
16421,2904.0,College study/no degree,5,Yes,Extremely important,Not important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,500 to 999 employees,"{'Android', 'Linux'}",Computer science,45.0,11.0
16436,10440.0,College study/no degree,4,No,Extremely important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,20 to 99 employees,"{'Docker', 'Android', 'Linux', 'AWS'}",Computer science,40.0,10.0
16438,25860.0,Master’s degree,1,Not sure,Extremely important,Fairly important,Once every few years,Yes,Never,Windows,"10,000 or more employees","{'Windows', 'Linux'}",Social science,40.0,10.0
16456,54049.0,Bachelor’s degree,5,No,Extremely important,Critically important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,2 to 9 employees,"{'Linux', 'Microsoft Azure', 'Kubernetes', 'Docker', 'Windows'}",Math or stats,37.5,9.0
16479,25131.0,Bachelor’s degree,1,No,Neutral,Very important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,2 to 9 employees,"{'Docker', 'AWS'}",Computer science,40.0,8.0
16480,4212.0,Master’s degree,4,No,Extremely important,Critically important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Windows,"1,000 to 4,999 employees","{'Linux', 'WordPress', 'Android', 'Heroku', 'Arduino', 'Windows'}",Computer science,45.0,14.0
16483,,Master’s degree,5,Yes,Extremely important,Somewhat important,Once a year,No,Often: 1-2 days per week or more,Linux-based,500 to 999 employees,{'Docker'},Engineering other,45.0,2.0
