Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
226,44595.0,College study/no degree,5,Not sure,Somewhat important,Not important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"1,000 to 4,999 employees","{'WordPress', 'Microsoft Azure', 'Android', 'Heroku', 'Raspberry Pi', 'Arduino', 'Docker', 'Windows', 'Google Cloud Platform'}",Information system,45.0,15.0
235,54049.0,Master’s degree,4,Yes,Neutral,Fairly important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Windows', 'Linux', 'Arduino'}",Computer science,45.0,21.0
238,0.0,Secondary school,5,No,Extremely important,Somewhat important,Every few months,Yes,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Linux', 'WordPress', 'Raspberry Pi', 'Arduino', 'AWS', 'Docker', 'Windows', 'Google Cloud Platform'}",,12.0,4.0
240,130000.0,Bachelor’s degree,5,Not sure,Neutral,Critically important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,100 to 499 employees,{'Windows'},Computer science,38.0,22.0
244,,Master’s degree,4,No,Not very important,Not important,Once every few years,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'WordPress', 'MacOS', 'Android', 'iOS', 'Windows', 'Google Cloud Platform'}",Web dev/design,60.0,23.0
248,,Master’s degree,4,Not sure,,Fairly important,Once a year,No,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'MacOS', 'Windows', 'Linux'}",Business,40.0,20.0
262,171000.0,Master’s degree,5,No,Extremely important,Not important,Once every few years,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,10 to 19 employees,"{'Linux', 'MacOS', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Social science,45.0,10.0
265,125000.0,Master’s degree,1,Yes,Extremely important,Critically important,Once a year,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,100 to 499 employees,"{'Docker', 'MacOS', 'Microsoft Azure', 'Raspberry Pi'}",,40.0,10.0
271,85000.0,Bachelor’s degree,5,Not sure,Neutral,Fairly important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,100 to 499 employees,{'AWS'},Math or stats,40.0,3.0
277,165000.0,Bachelor’s degree,5,No,Extremely important,Critically important,Once a year,Onboarding? What onboarding?,Never,Linux-based,2 to 9 employees,"{'Docker', 'Linux', 'AWS'}",Engineering other,27.0,34.0
280,,Associate degree,5,Yes,Extremely important,Not important,Every few months,Yes,Rarely: 1-2 days per year or less,Windows,"1,000 to 4,999 employees","{'Microsoft Azure', 'Windows'}",Computer science,37.5,13.0
300,260000.0,Master’s degree,2,Yes,Extremely important,Critically important,Once every few years,No,Occasionally: 1-2 days per quarter but less than monthly,MacOS,"1,000 to 4,999 employees","{'Docker', 'Linux', 'Kubernetes', 'AWS'}",Computer science,40.0,28.0
304,136136.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'MacOS', 'Windows', 'Linux'}",Information system,35.0,24.0
305,82500.0,Bachelor’s degree,5,Yes,Somewhat important,Fairly important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,"1,000 to 4,999 employees","{'Google Cloud Platform', 'Raspberry Pi'}",Natural science,45.0,8.0
313,1000000.0,Master’s degree,2,Yes,Extremely important,Fairly important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,500 to 999 employees,"{'MacOS', 'Windows', 'Linux'}",Computer science,37.0,20.0
318,108098.0,Master’s degree,2,No,Extremely important,Very important,Once every few years,Yes,Rarely: 1-2 days per year or less,MacOS,10 to 19 employees,"{'Linux', 'MacOS', 'Heroku', 'Kubernetes', 'AWS', 'Docker'}",Computer science,40.0,19.0
320,,Bachelor’s degree,5,Not sure,Extremely important,Somewhat important,,No,Never,Windows,"1,000 to 4,999 employees","{'Linux', 'MacOS', 'Raspberry Pi', 'Arduino', 'AWS', 'Docker', 'Windows'}",Engineering other,40.0,17.0
322,4188.0,Bachelor’s degree,5,No,Neutral,Fairly important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,{'AWS'},Computer science,42.0,1.0
325,,Bachelor’s degree,3,,,Critically important,Once every few years,Yes,Never,Windows,,"{'Windows', 'Linux'}",Computer science,40.0,19.0
329,80000.0,College study/no degree,3,No,Not very important,Not important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,100 to 499 employees,"{'Microsoft Azure', 'Windows', 'Android'}",Humanities,40.0,35.0
344,69000.0,Bachelor’s degree,4,No,Somewhat important,Not important,Once a year,Yes,Never,Windows,500 to 999 employees,"{'Windows', 'Raspberry Pi'}",Engineering other,40.0,7.0
349,130000.0,Master’s degree,1,Yes,Extremely important,Fairly important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,MacOS,20 to 99 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Math or stats,40.0,13.0
370,,College study/no degree,4,No,Somewhat important,Not important,Every few months,,Occasionally: 1-2 days per quarter but less than monthly,Windows,100 to 499 employees,"{'Docker', 'Windows'}",Computer science,40.0,10.0
376,,Bachelor’s degree,4,Yes,Extremely important,Critically important,Every few months,,Often: 1-2 days per week or more,Linux-based,"10,000 or more employees","{'MacOS', 'Windows', 'Linux'}",Computer science,60.0,11.0
